main_category,currency,deadline,usd_pledged_real
Food,USD,01/04/2016,52375.0
Food,USD,21/12/2014,1205.0
Music,USD,08/04/2013,12700.0
Games,GBP,03/05/2017,121857.33
Music,USD,17/08/2012,250.0
Fashion,USD,30/12/2013,34268.0
Comics,USD,12/11/2014,701.66
Music,USD,06/01/2011,15827.0
Film & Video,CAD,14/12/2014,42174.03
Comics,GBP,28/01/2016,160.6
Film & Video,USD,03/05/2017,57577.31
Design,USD,08/10/2016,47266.0
Design,AUD,22/08/2015,1427.35
Music,USD,13/08/2014,13260.0
Music,USD,19/05/2012,8641.34
Film & Video,USD,21/10/2013,15663.0
Music,USD,02/09/2012,17499.99
Music,USD,20/12/2016,2100.0
Photography,USD,13/12/2013,23907.0
Music,USD,01/09/2012,12656.0
Food,USD,16/10/2014,63401.0
Film & Video,USD,23/02/2013,9401.0
Games,USD,19/07/2013,8105.0
Film & Video,USD,05/02/2014,61365.16
Photography,USD,13/05/2012,4866.17
Film & Video,USD,19/06/2014,11055.0
Film & Video,USD,26/03/2012,9660.0
Games,USD,23/06/2015,37199.0
Food,USD,27/04/2015,124998.0
Theater,USD,08/07/2011,15425.0
Music,USD,03/12/2014,4795.0
Theater,USD,27/10/2014,8157.01
Film & Video,USD,14/02/2012,4045.0
Music,USD,26/02/2015,1540.0
Fashion,USD,18/05/2012,754.82
Comics,CAD,10/07/2014,4646.65
Games,EUR,23/11/2017,13347.43
Theater,USD,14/08/2012,2075.0
Music,USD,07/04/2013,10414.0
Film & Video,USD,03/04/2014,1932.99
Film & Video,USD,27/01/2014,3755.0
Film & Video,USD,31/07/2011,2252.99
Film & Video,USD,11/05/2014,756.0
Music,USD,26/10/2012,274.05
Publishing,USD,28/12/2016,1055.0
Food,USD,17/04/2016,47273.0
Fashion,USD,20/09/2012,5858.0
Fashion,USD,01/10/2014,1805.0
Music,USD,24/03/2012,1455.0
Games,USD,13/03/2013,20269.0
Art,USD,24/12/2017,8360.0
Games,USD,29/12/2015,14794.0
Games,USD,18/10/2012,306.72
Art,USD,30/03/2013,1062.57
Film & Video,GBP,02/03/2014,8447.09
Publishing,USD,18/07/2012,2535.0
Publishing,USD,25/08/2017,3165.0
Art,USD,22/10/2015,2354.5
Film & Video,GBP,20/03/2015,1122.89
Art,GBP,08/05/2013,2331.32
Theater,USD,18/06/2012,8315.0
Technology,USD,08/07/2014,268192.0
Publishing,USD,07/04/2013,2883.5
Music,USD,29/06/2017,1647.0
Fashion,USD,07/06/2014,91003.67
Music,USD,04/11/2011,923.0
Publishing,USD,20/08/2016,9500.0
Design,USD,01/03/2016,843743.0
Music,USD,20/12/2010,2036.0
Film & Video,USD,03/11/2013,5120.0
Music,USD,01/10/2016,4629.0
Publishing,GBP,12/06/2013,8937.95
Design,USD,05/10/2014,26407.0
Technology,GBP,29/12/2012,75379.02
Publishing,USD,09/07/2014,20313.0
Film & Video,USD,10/01/2012,850.0
Art,USD,17/01/2015,642.0
Music,USD,06/07/2016,18009.0
Technology,MXN,21/12/2016,2739.22
Games,GBP,10/11/2014,4848.23
Design,USD,15/07/2015,39209.0
Fashion,USD,10/08/2015,23079.0
Comics,SEK,18/07/2016,986.03
Theater,USD,01/06/2016,4813.0
Design,GBP,10/10/2015,23576.92
Fashion,EUR,18/12/2016,3944.43
Theater,USD,11/10/2012,10046.0
Games,USD,03/03/2013,1620.0
Games,USD,08/12/2016,165.0
Art,USD,24/05/2013,4386.0
Food,USD,01/04/2017,2164.77
Games,USD,18/08/2014,1207.0
Comics,USD,03/06/2014,2585.0
Publishing,USD,05/03/2014,1500.0
Food,USD,01/04/2014,30066.0
Dance,USD,16/08/2015,1205.0
Design,USD,28/04/2016,218.0
Film & Video,USD,03/05/2013,1612.0
Comics,USD,04/06/2011,5965.5
Technology,USD,11/07/2012,5000.0
Film & Video,USD,06/01/2015,22421.0
Film & Video,GBP,03/07/2014,1825.79
Film & Video,USD,21/03/2014,6614.0
Art,USD,13/04/2017,7259.0
Photography,CAD,01/06/2017,1364.34
Publishing,USD,05/01/2014,1067.0
Technology,GBP,13/06/2015,11335.49
Dance,USD,21/12/2014,1900.0
Music,USD,05/09/2013,11713.0
Music,USD,15/07/2009,10328.0
Fashion,EUR,14/06/2016,2282.32
Music,USD,24/06/2017,2415.0
Art,USD,12/07/2010,3125.0
Film & Video,GBP,04/06/2013,376.94
Film & Video,USD,06/12/2014,3585.0
Art,USD,15/02/2012,1145.0
Technology,USD,21/10/2016,227673.0
Art,USD,03/04/2013,11511.1
Comics,USD,31/07/2014,2611.0
Publishing,USD,25/02/2013,2510.0
Art,USD,30/08/2014,708.0
Crafts,AUD,17/01/2016,709.07
Film & Video,USD,28/05/2014,3863.37
Film & Video,GBP,17/04/2016,711.71
Art,USD,25/03/2013,5263.0
Journalism,USD,07/08/2017,1804.0
Games,USD,07/12/2012,7782.0
Design,USD,08/05/2013,41759.0
Theater,USD,02/07/2011,2308.5
Art,GBP,22/11/2013,16225.19
Food,GBP,08/09/2015,524.38
Games,USD,07/08/2015,14414.0
Games,USD,26/05/2017,2348.0
Fashion,USD,21/03/2014,2190.0
Food,USD,15/10/2015,25816.0
Film & Video,AUD,02/06/2015,649.89
Technology,USD,03/11/2017,4236618.49
Art,USD,11/12/2013,5080.2
Photography,USD,24/07/2011,6022.0
Film & Video,CAD,25/12/2013,7897.6
Food,USD,10/10/2016,15018.0
Design,USD,27/07/2014,13757.0
Film & Video,USD,25/03/2016,15040.33
Music,USD,25/06/2016,7453.0
