deadline,currency,usd_pledged_real
01/04/2016,USD,52375.0
21/12/2014,USD,1205.0
08/04/2013,USD,12700.0
03/05/2017,GBP,121857.33
17/08/2012,USD,250.0
30/12/2013,USD,34268.0
12/11/2014,USD,701.66
06/01/2011,USD,15827.0
14/12/2014,CAD,42174.03
28/01/2016,GBP,160.6
03/05/2017,USD,57577.31
08/10/2016,USD,47266.0
22/08/2015,AUD,1427.35
13/08/2014,USD,13260.0
19/05/2012,USD,8641.34
21/10/2013,USD,15663.0
02/09/2012,USD,17499.99
19/01/2018,CAD,472.88
20/12/2016,USD,2100.0
13/12/2013,USD,23907.0
01/09/2012,USD,12656.0
16/10/2014,USD,63401.0
23/02/2013,USD,9401.0
19/07/2013,USD,8105.0
05/02/2014,USD,61365.16
13/05/2012,USD,4866.17
19/06/2014,USD,11055.0
26/03/2012,USD,9660.0
23/06/2015,USD,37199.0
27/04/2015,USD,124998.0
08/07/2011,USD,15425.0
03/12/2014,USD,4795.0
27/10/2014,USD,8157.01
14/02/2012,USD,4045.0
26/02/2015,USD,1540.0
18/05/2012,USD,754.82
10/07/2014,CAD,4646.65
23/11/2017,EUR,13347.43
14/08/2012,USD,2075.0
07/04/2013,USD,10414.0
03/04/2014,USD,1932.99
27/01/2014,USD,3755.0
31/07/2011,USD,2252.99
11/05/2014,USD,756.0
26/10/2012,USD,274.05
28/12/2016,USD,1055.0
17/04/2016,USD,47273.0
20/09/2012,USD,5858.0
01/10/2014,USD,1805.0
24/03/2012,USD,1455.0
13/03/2013,USD,20269.0
24/12/2017,USD,8360.0
29/12/2015,USD,14794.0
18/10/2012,USD,306.72
30/03/2013,USD,1062.57
02/03/2014,GBP,8447.09
18/07/2012,USD,2535.0
25/08/2017,USD,3165.0
22/10/2015,USD,2354.5
20/03/2015,GBP,1122.89
08/05/2013,GBP,2331.32
18/06/2012,USD,8315.0
08/07/2014,USD,268192.0
07/04/2013,USD,2883.5
29/06/2017,USD,1647.0
07/06/2014,USD,91003.67
04/11/2011,USD,923.0
20/08/2016,USD,9500.0
01/03/2016,USD,843743.0
20/12/2010,USD,2036.0
03/11/2013,USD,5120.0
01/10/2016,USD,4629.0
06/02/2018,USD,310.0
12/06/2013,GBP,8937.95
05/10/2014,USD,26407.0
29/12/2012,GBP,75379.02
09/07/2014,USD,20313.0
10/01/2012,USD,850.0
17/01/2015,USD,642.0
06/07/2016,USD,18009.0
21/12/2016,MXN,2739.22
10/11/2014,GBP,4848.23
15/07/2015,USD,39209.0
10/08/2015,USD,23079.0
18/07/2016,SEK,986.03
01/06/2016,USD,4813.0
10/10/2015,GBP,23576.92
18/12/2016,EUR,3944.43
11/10/2012,USD,10046.0
03/03/2013,USD,1620.0
08/12/2016,USD,165.0
24/05/2013,USD,4386.0
01/04/2017,USD,2164.77
18/08/2014,USD,1207.0
03/06/2014,USD,2585.0
05/03/2014,USD,1500.0
01/04/2014,USD,30066.0
16/08/2015,USD,1205.0
28/04/2016,USD,218.0
03/05/2013,USD,1612.0
04/06/2011,USD,5965.5
11/07/2012,USD,5000.0
06/01/2015,USD,22421.0
03/07/2014,GBP,1825.79
21/03/2014,USD,6614.0
13/04/2017,USD,7259.0
01/06/2017,CAD,1364.34
05/01/2014,USD,1067.0
13/06/2015,GBP,11335.49
21/12/2014,USD,1900.0
05/09/2013,USD,11713.0
15/07/2009,USD,10328.0
14/06/2016,EUR,2282.32
24/06/2017,USD,2415.0
12/07/2010,USD,3125.0
04/06/2013,GBP,376.94
06/12/2014,USD,3585.0
15/02/2012,USD,1145.0
21/10/2016,USD,227673.0
03/04/2013,USD,11511.1
31/07/2014,USD,2611.0
25/02/2013,USD,2510.0
30/08/2014,USD,708.0
17/01/2016,AUD,709.07
28/05/2014,USD,3863.37
17/04/2016,GBP,711.71
25/03/2013,USD,5263.0
07/08/2017,USD,1804.0
07/12/2012,USD,7782.0
08/05/2013,USD,41759.0
02/07/2011,USD,2308.5
22/11/2013,GBP,16225.19
08/09/2015,GBP,524.38
07/08/2015,USD,14414.0
26/05/2017,USD,2348.0
21/03/2014,USD,2190.0
15/10/2015,USD,25816.0
02/06/2015,AUD,649.89
03/11/2017,USD,4236618.49
11/12/2013,USD,5080.2
24/07/2011,USD,6022.0
25/12/2013,CAD,7897.6
10/10/2016,USD,15018.0
27/07/2014,USD,13757.0
25/03/2016,USD,15040.33
25/06/2016,USD,7453.0
01/08/2015,GBP,4208.17
01/11/2013,USD,66554.56
01/10/2011,USD,8952.22
29/05/2011,USD,566.0
31/07/2017,EUR,38421.55
19/12/2014,USD,18625.0
26/06/2012,USD,1072.0
02/06/2017,USD,37522.0
21/12/2012,USD,12857.0
21/03/2013,USD,3712.0
19/06/2011,USD,600.0
14/12/2012,USD,7498.77
10/05/2015,NZD,8226.9
20/06/2015,USD,9125.0
20/06/2013,USD,1221.0
05/01/2014,USD,25712.0
06/12/2011,USD,8739.01
11/04/2012,USD,865.0
10/02/2013,USD,6000.0
19/03/2015,USD,10290.0
27/08/2017,USD,2575.0
06/03/2011,USD,8294.63
14/11/2012,USD,815.0
19/12/2012,USD,87207.5
11/12/2017,GBP,27208.27
16/11/2014,USD,3318.0
05/01/2013,GBP,8932.68
07/05/2012,USD,6510.0
30/06/2017,USD,14875.0
22/04/2016,USD,17771.0
13/11/2014,USD,20563.0
17/02/2011,USD,4600.0
